Organization Name,IPO Status,Company Type,Number of Employees,Last Funding Type,Last Funding Date,Founded Date,Founded Date Precision,Operating Status,Number of Founders,Number of Funding Rounds,Last Funding Amount (in USD),Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Industries,Headquarters Location
The VERT,Private,For Profit,1-10,Pre-Seed,2024-09-01,2021-01-01,year,Active,1.0,3.0,0.0,0.0,0.0,2192645.0,European Union,1.0,"Europe, Middle East, and Africa (EMEA)","Information Technology, Real Estate, Software, Sustainability","Architecture, Carbon Capture, Construction, Green Building, GreenTech, Information Technology, SaaS, Software, Sustainability","London, England, United Kingdom"
NovoGrid,Private,For Profit,1-10,Convertible Note,2019-12-31,2014-09-15,day,Active,3.0,4.0,280498.0,0.0,0.0,482615.0,"NDRC, MDR Capital, eDot Invest",3.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Energy, Financial Services, Lending and Investments, Natural Resources, Software, Sustainability, Transportation","Battery, Clean Energy, Electric Vehicle, Electrical Distribution, Energy, Power Grid, Software, Solar, Trading Platform, Wind Energy","Dublin, Dublin, Ireland"
Metaschool,Private,For Profit,11-50,Seed,2022-09-23,2022-01-01,year,Active,1.0,1.0,0.0,0.0,0.0,0.0,"Blockchain Founders Fund, Goodwater Capital, MCE Group",3.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Blockchain and Cryptocurrency, Education, Internet Services, Software","E-Learning, Web3","Singapore, Central Region, Singapore"
Ignota Labs,Private,For Profit,1-10,Pre-Seed,2022-10-11,2021-01-01,year,Active,2.0,1.0,0.0,0.0,0.0,0.0,"Sustainable Ventures, Discovery Park Ventures",2.0,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence (AI), Biotechnology, Health Care, Life Science, Pharmaceutical","London, England, United Kingdom"
Coffee Circle,Private,For Profit,51-100,Series B,2023-06-26,2010-01-01,year,Active,1.0,4.0,0.0,0.0,0.0,0.0,"HOWZAT Partners, TEV Ventures, Monkfish Equity",3.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Commerce and Shopping, Food and Beverage, Other, Travel and Tourism","B2B, B2C, Coffee, E-Commerce, Food and Beverage, Food Processing, Hospitality","Berlin, Berlin, Germany"
Ria Insurance,Private,For Profit,11-50,Pre-Seed,2019-10-01,2019-06-01,day,Active,4.0,1.0,0.0,0.0,0.0,0.0,"Rainmatter Capital, BEENEXT, Leo Capital",3.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Software","Health Care, Insurance, InsurTech, Machine Learning","New Delhi, Delhi, India"
PROTe-IN,Private,For Profit,1-10,Non-equity Assistance,2024-05-24,2020-12-10,day,Active,1.0,2.0,0.0,0.0,0.0,0.0,MassChallenge Switzerland,1.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Biotechnology, Food and Beverage, Science and Engineering","Biotechnology, Food and Beverage","Torino, Piemonte, Italy"
Ecowrap,Private,For Profit,11-50,Seed,2023-08-24,2020-10-13,day,Active,4.0,3.0,0.0,0.0,0.0,0.0,"JITO Angel Network, Social Alpha, AIM Smart City, JITO Incubation and Innovation Foundation (JIIF)",4.0,Asia-Pacific (APAC),"Other, Social Impact, Sustainability","Recycling, Social Impact, Waste Management","Jaipur, Rajasthan, India"
Mestikon Digital Agency,Private,For Profit,1-10,Undisclosed,2023-12-09,2012-03-05,day,Active,1.0,1.0,0.0,0.0,0.0,0.0,Vlad Volov,1.0,"Europe, Middle East, and Africa (EMEA)","Advertising, Content and Publishing, Design, Internet Services, Media and Entertainment, Sales and Marketing","Advertising, Creative Agency, Online Portals, Web Design","Odessa, Odes'ka Oblast', Ukraine"
re_data,Private,For Profit,1-10,Pre-Seed,2021-07-01,2021-01-01,day,Active,2.0,1.0,0.0,0.0,0.0,0.0,"Sunfish Partners, FundingBox Deep Tech Fund",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Data and Analytics,Analytics,"Warsaw, Mazowieckie, Poland"
Voxterr Holdings Ltd,Private,For Profit,1-10,Undisclosed,2018-03-14,2011-09-01,day,Active,1.0,1.0,0.0,0.0,0.0,0.0,Dean Despotovic,1.0,"Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Data and Analytics, Financial Services, Lending and Investments, Sales and Marketing, Science and Engineering, Software","Big Data, Consumer Software, Financial Exchanges, FinTech, Intelligent Systems, Marketing, Marketing Automation, Software","London, England, United Kingdom"
Ayo,Private,For Profit,1-10,Angel,2019-08-08,2019-01-01,year,Active,1.0,1.0,0.0,0.0,0.0,0.0,"Patrício Darvisson, Junior Menezes",2.0,Latin America,"Apps, Commerce and Shopping, Hardware, Software","Apps, Retail Technology, Software","Lagarto, Sergipe, Brazil"
Illucens,Private,For Profit,11-50,Seed,2020-05-30,2009-04-01,month,Active,1.0,3.0,0.0,0.0,0.0,0.0,"Private Investors, Good Seed Ventures",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Agriculture and Farming, Food and Beverage","Animal Feed, Food and Beverage, Food Processing","Ahaus, Nordrhein-Westfalen, Germany"
Basecamp,Private,For Profit,11-50,Series B,2009-09-24,1999-01-01,year,Active,2.0,2.0,1.0,1.0,1.0,1.0,Bezos Expeditions,1.0,"Greater Chicago Area, Great Lakes, Midwestern US","Administrative Services, Internet Services, Media and Entertainment, Other, Software","File Sharing, Internet, Project Management, SaaS, Social Media, Software","Chicago, Illinois, United States"
SY & SE SA,Private,For Profit,1-10,Angel,2020-03-27,2017-01-01,year,Active,3.0,1.0,1.0,1.0,1.0,1.0,Private Investors,1.0,"Europe, Middle East, and Africa (EMEA)","Health Care, Manufacturing","Manufacturing, Medical","La Chaux-de-fonds, Neuchatel, Switzerland"
RocketVax,Private,For Profit,11-50,Grant,2021-08-03,2020-01-01,year,Active,1.0,3.0,3540360.0,2.0,2.0,5753087.0,"Innosuisse, University Hospital Basel, Canton of Basel-Stadt",3.0,"Europe, Middle East, and Africa (EMEA)","Biotechnology, Health Care, Science and Engineering","Biotechnology, Chemical, Health Care, Life Science, Pharmaceutical","Basel, Basel-Stadt, Switzerland"
Loxonet,Private,For Profit,11-50,Seed,2021-05-01,2018-01-01,year,Active,3.0,4.0,1.0,1.0,2.0,2.0,"Companisto, Hermann Eul, Alexander Pohl, Michael Merz, Jens Klüver",8.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Community and Lifestyle, Internet Services, Professional Services, Science and Engineering, Software","Cloud Computing, Consumer Software, Professional Networking, SaaS, Social Network, Software, Software Engineering","Hamburg, Hamburg, Germany"
Xedon Ai (Arear),Private,For Profit,1-10,Pre-Seed,2023-07-07,2016-01-01,day,Active,1.0,1.0,6.0,6.0,6.0,6.0,Philipp Amana,1.0,"San Francisco Bay Area, Silicon Valley, West Coast","Apps, Artificial Intelligence (AI), Commerce and Shopping, Consumer Electronics, Data and Analytics, Hardware, Information Technology, Mobile, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Consulting, Consumer Electronics, E-Commerce, Information Technology, Machine Learning, Mobile Apps, SaaS, Software","Redwood City, California, United States"
Quadpay,Private,For Profit,51-100,Venture - Series Unknown,2020-01-01,2017-01-01,year,Active,2.0,3.0,0.0,0.0,9.0,9.0,"Five V Capital, Global Founders Capital, Regal Funds Management, Rainfall Ventures, Rudyard Partners LLC",5.0,"Greater New York Area, East Coast, Northeastern US","Commerce and Shopping, Financial Services, Payments","E-Commerce, FinTech, Payments","New York, New York, United States"
Agro Intelligence,Private,For Profit,11-50,Undisclosed,2020-10-15,2015-06-01,month,Active,1.0,3.0,17.0,17.0,17.0,17.0,"Vaekstfonden, Nordic Alpha Partners, Kongskilde",3.0,"European Union (EU), Nordic Countries, Scandinavia","Agriculture and Farming, Hardware, Science and Engineering, Software","Agriculture, Farming, Robotics","Aarhus, Midtjylland, Denmark"
LegalFAB,Private,For Profit,1-10,Pre-Seed,2021-07-01,2016-01-01,year,Active,1.0,2.0,44.0,44.0,44.0,44.0,HH Family,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Information Technology, Software","Information Services, Information Technology, Software","Singapore, Central Region, Singapore"
Bizfrik IT Solutions,Private,For Profit,1-10,Private Equity,2020-11-11,2018-10-14,day,Active,1.0,1.0,54.0,54.0,54.0,54.0,Rajat Waingankar,1.0,Asia-Pacific (APAC),Information Technology,IT Management,"Karwar, Karnataka, India"
QOLAC,Private,For Profit,1-10,Private Equity,2020-12-21,2010-12-01,month,Active,1.0,1.0,590.0,590.0,590.0,590.0,Atikur Tushar,1.0,Asia-Pacific (APAC),"Education, Health Care","Education, Health Care","Dhaka, Dhaka, Bangladesh"
Second Melt Recycling Services,Private,For Profit,1-10,Grant,2020-09-04,2017-11-27,day,Active,1.0,2.0,10654.0,601.0,601.0,11255.0,Enpact,1.0,"Europe, Middle East, and Africa (EMEA)",Sustainability,Recycling,"Accra, Greater Accra, Ghana"
Mintbook,Private,For Profit,11-50,Seed,2019-09-12,2013-12-30,day,Active,2.0,1.0,704.0,704.0,704.0,704.0,Edupreneur Village Fund,1.0,Asia-Pacific (APAC),"Education, Internet Services, Media and Entertainment, Software","Content, EdTech, Education, Internet of Things, Software","Bangalore, Karnataka, India"
Klugit Energy,Private,For Profit,1-10,Seed,2021-02-15,2018-11-16,day,Active,2.0,2.0,949.0,949.0,949.0,949.0,"EIT InnoEnergy, Portugal Ventures",2.0,"European Union (EU), Europe, Middle East, and Africa (EMEA)","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Natural Resources, Real Estate, Science and Engineering, Software","Artificial Intelligence (AI), Smart Home, Water","Aveiro, Aveiro, Portugal"
Selfomy,Private,For Profit,11-50,Pre-Seed,2017-12-01,2013-10-20,day,Active,2.0,2.0,880.0,880.0,963.0,963.0,Nga Le,1.0,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia","Education, Information Technology, Software","EdTech, Education, Information Technology","Ho Chi Minh City, NA - Vietnam, Vietnam"
Clutch,Private,For Profit,1-10,Pre-Seed,2021-09-27,2021-01-01,year,Active,2.0,1.0,965.0,965.0,965.0,965.0,"PSV, David Helgason, Crowberry Capital, Heini Zachariassen",4.0,"European Union (EU), Nordic Countries, Scandinavia","Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Sports","Artificial Intelligence (AI), Software, Sports","Copenhagen, Hovedstaden, Denmark"
Pomona S Enterprises,Private,For Profit,1-10,Seed,2024-07-22,2023-12-04,day,Active,6.0,1.0,1000.0,1000.0,1000.0,1000.0,Government of India,1.0,Asia-Pacific (APAC),"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Hardware, Health Care, Manufacturing, Science and Engineering, Software","Artificial Intelligence (AI), Computer Vision, Food and Beverage, Food Processing, Machine Learning, Manufacturing, Pharmaceutical, Textiles","Mumbai, Maharashtra, India"
The Facilities Group,Private,For Profit,10001+,Private Equity,2022-02-08,2020-01-01,month,Active,1.0,3.0,0.0,0.0,1000.0,1000.0,"Greenbriar Equity Group, Morgan Stanley Private Credit, Revolent Capital Solutions",3.0,"Tampa Bay Area, East Coast, Southern US","Administrative Services, Real Estate","Building Maintenance, Facilities Support Services, Facility Management, Janitorial Service","Tampa, Florida, United States"
