Organization Name,Organization Name URL,Growth Category,IPO Status,Company Type,Number of Employees,Acquisition Status,Last Funding Type,Last Funding Date,Investor Type,Founded Date,Founded Date Precision,Operating Status,Actively Hiring,Investment Stage,Number of Founders,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Headquarters Regions,Industry Groups,Most Recent Valuation Range,Growth Confidence,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Industries,Headquarters Location,Number of Investments
Cuore Software,https://www.crunchbase.com/organization/cuore-software,,Private,For Profit,1-10,,,,,2024-09-18,day,Active,,,,,,,,,,,,,,,,,,,,,,"Science and Engineering, Software",,,,,,"SaaS, Software Engineering",,
classCalendar,https://www.crunchbase.com/organization/classcalendar,,Private,For Profit,1-10,,,,,2024-09-17,day,Active,,,,,,,,,,,,,,,,,,,,,"Greater Chicago Area, Great Lakes, Midwestern US","Apps, Mobile, Software",,,,,,"Mobile Apps, Software","Vernon Hills, Illinois, United States",
Feed Protocol,https://www.crunchbase.com/organization/feed-protocol,,Private,For Profit,1-10,,,,,2024-09-17,day,Active,,,1,,,,,,,,,,,,,,,,,,"East Coast, Southern US","Blockchain and Cryptocurrency, Internet Services, Other, Software",,,,,,"Blockchain, Decentralized Finance (DeFi), Developer Tools, Internet, SaaS, Software, Web3","Dover, Delaware, United States",
TQDM,https://www.crunchbase.com/organization/tqdm,,Private,For Profit,1-10,,,,,2024-09-17,day,Active,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), SaaS, Search Engine",,
VGV IT,https://www.crunchbase.com/organization/vgv-it,,Private,For Profit,1-10,,,,,2024-09-16,day,Active,,,2,,,,,,,,,,,,,,,,,,,"Hardware, Information Technology, Internet Services, Science and Engineering, Software",,,,,,"Consumer Software, Enterprise Software, Information Technology, IT Management, Software Engineering, Virtual Reality, Web Development, Web Hosting",,
ComfyUI Marketplace,https://www.crunchbase.com/organization/comfyui-marketplace,,Private,For Profit,1-10,,,,,2024-09-16,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), Marketplace",,
SF Technologies,https://www.crunchbase.com/organization/safety-taps,,Private,For Profit,1-10,,,,,2024-09-15,day,Active,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Starter Kits,https://www.crunchbase.com/organization/swift-starter-kits,,Private,For Profit,1-10,,,,,2024-09-15,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okonomi,https://www.crunchbase.com/organization/okonomi,,Private,For Profit,1-10,,,,,2024-09-15,day,Active,,,1,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,,,,"Artificial Intelligence (AI), CRM, Enterprise Resource Planning (ERP), SaaS, Software",,
Mobileappdaily,https://www.crunchbase.com/organization/mobileappdaily-4dad,,Private,For Profit,1-10,,,,,2024-09-15,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
